model,layer,"corr_raw(orig,mirr)","corr_equiv(orig,mirror_back)"
baseline,conv1,0.25039606468819664,0.3845068469493168
baseline,conv2,0.6334192201483663,0.5714438866629878
baseline,conv3,0.4837948247073193,0.7666697588216554
parity_invariant,block1.conv,0.5729409336059466,0.6028774407045971
parity_invariant,block2.conv,0.2917489772212789,0.8493904345615484
parity_invariant,block3.conv,0.7103999696234388,0.5233823087999956
